,time_step,outcome_type,outcome,stimulus,stage,exp_outcome,go_Q_lick,go_Q_nolick,nogo_Q_lick,nogo_Q_nolick,go_Q_lick_ql,go_Q_nolick_ql,nogo_Q_lick_ql,nogo_Q_nolick_ql,alpha,Q_PE,go_P_lick,go_P_nolick,go_P_lick_ql,go_P_nolick_ql,nogo_P_lick,nogo_P_nolick,nogo_P_lick_ql,nogo_P_nolick_ql,motivation
147,[818405],C1S9,3,0,uncertain,2,0.7842171544209368,0.04793706898283059,0.02561882103178313,0.03904150430864894,1.7970250612397989,0.6610845562228,0.0036800000000000027,0.999451868911059,0.00015245894995073706,0.22370820280809556,0.7645966720747136,0.23540332792528637,0.8602664543388293,0.13973354566117058,0.49463113304506695,0.505368866954933,0.16892924314116167,0.8310707568588384,0.0
148,[828166],C1S9,3,0,uncertain,2,0.7842171544209368,0.04793706898283059,0.02561882103178313,0.0390507964477921,1.7970250612397989,0.6610845562228,0.0036800000000000027,0.9995066820199531,0.0001524338656617933,0.22370820280809556,0.7645966720747136,0.23540332792528637,0.8602664543388293,0.13973354566117058,0.49462741661825593,0.5053725833817441,0.16891693096998028,0.8310830690300198,0.0
149,[837942],C1S9,3,0,uncertain,2,0.7842171544209368,0.04793706898283059,0.02561882103178313,0.03906008568682963,1.7970250612397989,0.6610845562228,0.0036800000000000027,0.9995560138179578,0.0001524095229492839,0.22370820280809556,0.7645966720747136,0.23540332792528637,0.8602664543388293,0.13973354566117058,0.49462370135194667,0.5053762986480533,0.16890585062722469,0.8310941493727754,0.0
150,[857648],C1S9,3,0,uncertain,2,0.7842171544209368,0.04793706898283059,0.02561882103178313,0.03906937205394755,1.7970250612397989,0.6610845562228,0.0036800000000000027,0.999600412436162,0.0001523856280827407,0.22370820280809556,0.7645966720747136,0.23540332792528637,0.8602664543388293,0.13973354566117058,0.49461998723486605,0.505380012765134,0.16889587881389445,0.8311041211861055,0.0
151,[868558],C1S9,3,0,uncertain,2,0.7842171544209368,0.04793706898283059,0.02561882103178313,0.039078655566574874,1.7970250612397989,0.6610845562228,0.0036800000000000027,0.9996403711925459,0.0001523620047956969,0.22370820280809556,0.7645966720747136,0.23540332792528637,0.8602664543388293,0.13973354566117058,0.49461627426004307,0.5053837257399569,0.16888690458296188,0.8311130954170382,0.0
152,[878341],C1S9,3,0,uncertain,2,0.7842171544209368,0.04793706898283059,0.02561882103178313,0.039087936235686085,1.7970250612397989,0.6610845562228,0.0036800000000000027,0.9996763340732913,0.00015233854731084326,0.22370820280809556,0.7645966720747136,0.23540332792528637,0.8602664543388293,0.13973354566117058,0.49461256242308826,0.5053874375769117,0.1688788280999799,0.8311211719000202,0.0
153,[886339],C1S6,1,1,uncertain,1,0.7842171544209368,0.04793706898283059,0.02561882103178313,0.03909721406838265,1.7970250612397989,0.6610845562228,0.0036800000000000027,0.9997087006659622,0.00015231519215081987,0.22370820280809556,0.7645966720747136,0.23540332792528637,0.8602664543388293,0.13973354566117058,0.49460885172116137,0.5053911482788386,0.1688715595284269,0.8311284404715732,1.0
154,[895839],C1S7,2,1,uncertain,2,0.7915976389735275,0.04793706898283059,0.02561882103178313,0.03909721406838265,1.807322555115819,0.6610845562228,0.0036800000000000027,0.9997087006659622,0.03420329606269151,0.21578284557906324,0.7667154720741415,0.2332845279258585,0.8622352705863026,0.1377647294136975,0.49460885172116137,0.5053911482788386,0.1688715595284269,0.8311284404715732,0.0
155,[903482],C1S13,5,1,uncertain,1,0.7915976389735275,0.04916813621607954,0.02561882103178313,0.03909721406838265,1.807322555115819,0.6949761006005201,0.0036800000000000027,0.9997087006659622,0.02364575349864507,0.05206293101716942,0.766362979481689,0.23363702051831095,0.8556665276481799,0.14433347235182004,0.49460885172116137,0.5053911482788386,0.1688715595284269,0.8311284404715732,1.0
156,[913718],C1S6,1,1,uncertain,1,0.7530871929446543,0.04916813621607954,0.02561882103178313,0.03909721406838265,1.726590299604237,0.6949761006005201,0.0036800000000000027,0.9997087006659622,0.05568331043759869,-0.6915976389735276,0.7551499748356297,0.24485002516437016,0.8389697909284393,0.16103020907156068,0.49460885172116137,0.5053911482788386,0.1688715595284269,0.8311284404715732,1.0
