,start_time,end_time,choice_type,reward_type,outcome,exp_outcome,Q_CP,Q_CG,Q_PE,epsilon,P_CP,P_CG,P_CP_sf,P_CG_sf,motivation
60,516.082,516.513,1.0,0.0,1,1,0.8224447362931414,0.30147880697965523,0.5409317582797818,0.26438627444657825,0.6972976859112652,0.30270231408873494,0.7682082716208603,0.23179172837913978,1.0
61,522.488,522.728,1.0,1.0,2,1,0.8245072138600824,0.30977783053750674,0.45552049970576947,0.7524994585408731,0.5657471048316529,0.43425289516834703,0.7656442868530479,0.23435571314695214,1.0
62,530.791,531.842,1.0,1.0,2,1,0.8227205073498582,0.3156196859943817,0.4786503669891584,0.6303551766493072,0.597024871360502,0.402975128639498,0.7624813475838985,0.23751865241610146,1.0
63,539.739,541.308,1.0,1.0,2,1,0.8200780103310557,0.31904258236732863,0.49946724754420846,0.5033296536280334,0.629107289027532,0.37089271097246806,0.7599456359144922,0.2400543640855079,1.0
64,548.34,552.732,1.0,1.0,2,1,0.8136230312793088,0.3132055919435601,0.5182024400437535,0.38815814366430146,0.6588869119729086,0.3411130880270914,0.7596862413507917,0.24031375864920831,1.0
65,559.485,560.9,2.0,0.0,3,2,0.8089977696092773,0.29459672274313997,0.535064113293344,0.2938822498020722,0.6874804457809929,0.3125195542190072,0.7655087564764393,0.23449124352356066,-1.0
66,566.208,569.894,1.0,0.0,1,1,0.8035412029490319,0.2838464701413018,0.5663821960393781,0.15982175523918185,0.7249050017528977,0.27509499824710226,0.7676872475041575,0.23231275249584252,1.0
67,575.781,576.84,1.0,1.0,2,1,0.8011139002232615,0.275637726479185,0.4815577019640096,0.6132650028867443,0.6044378986748131,0.39556210132518693,0.7700502914253409,0.2299497085746591,1.0
68,584.898,587.87,2.0,0.0,3,2,0.8039190234488501,0.27004020113745575,0.5052156572961779,0.46744824903942406,0.645628696514359,0.35437130348564105,0.7734545445615099,0.22654545543849006,-1.0
69,603.339,603.4,2.0,0.0,3,2,0.8010793671391279,0.26927991837369836,0.5334019317676086,0.30257869423376693,0.690127813526361,0.309872186473639,0.7726154362569609,0.227384563743039,-1.0
70,609.473,611.005,1.0,1.0,2,1,0.8009975916915621,0.2714140270167887,0.5587695787918963,0.1870582383351328,0.7208915837437162,0.2791084162562839,0.7717188292693198,0.22828117073068027,1.0
71,617.816,621.057,2.0,1.0,4,2,0.8043036913375765,0.27497738257602755,0.5800617385908478,0.11904096334470504,0.7392813146809922,0.2607186853190076,0.7716145753944054,0.22838542460559455,-1.0
72,629.099,629.1,1.0,1.0,2,1,0.8116910842885654,0.27187595304368656,0.5028926209127066,0.48192899385562415,0.6429036765996403,0.3570963234003597,0.7758380123666214,0.22416198763337866,1.0
